toi,toipfx,tfopwg_disp,pl_orbper,pl_rade,pl_insol,st_tmag,st_dist,st_teff,st_logg,st_rad
1180.01,1180,PC,9.6867516,3.00336,41.6645,10.112,72.0238,4738.1,4.59,0.73
1181.01,1181,CP,2.1031647,16.7087,14140.0,10.079,302.819,6122.0,3.93,1.93
1182.01,1182,FP,7.6416041,27.538,478.683,10.0049,,6496.7,,2.05
1183.01,1183,FP,5.9294073,11.5196,456.893,9.9478,112.868,5095.6,,1.06
1184.01,1184,PC,5.7484439,2.35215,75.272,9.9469,58.5946,4534.0,4.61,0.69
1185.01,1185,FP,1.1967018,10.3239,25917.9,9.94025,246.798,5997.0,4.0,1.73
1186.01,1186,FP,11.2463935,17.7197,403.931,9.92402,294.85,6115.7,3.89,2.01
1187.01,1187,PC,2.5941968,4.47229,300.014,9.9002,221.071,6389.0,4.26,1.4
1188.01,1188,FP,8.5112,,,9.886581,347.452,8156.0,4.35,
1189.01,1189,PC,3.9687994,,,9.8744,,5286.9,,
119.01,119,PC,5.5411114,2.04482,258.843,9.2789,66.6187,5332.0,4.56429,0.82
119.02,119,PC,10.6917268,1.79811,42.2657,9.2789,66.6187,5332.0,4.56429,0.82
1190.01,1190,APC,3.6950015,14.1288,2184.62,9.80529,280.948,7106.7,4.2,1.63
1191.01,1191,FP,15.7335693,24.3218,367.588,9.7831,355.809,6800.0,3.91,2.21
1192.01,1192,APC,45.9403293,28.3312,20.4053,10.4999,283.025,6479.3,,1.28
1193.01,1193,FP,2.2219839,15.4416,7790.56,10.4813,501.963,7166.8,,1.87
1194.01,1194,PC,2.3106428,8.76741,203.685,10.4782,149.667,5339.9,4.41,0.99
1195.01,1195,FP,4.05135,14.2359,,10.4717,500.014,4974.4,,3.85
1196.01,1196,PC,5.5376617,15.6557,351.929,10.4318,424.442,6689.0,3.96,2.06
1197.01,1197,PC,4.5960377,16.2166,2340.04,10.4247,405.634,7649.0,4.04,2.12
1198.01,1198,KP,3.612771,19.3662,5011.92,10.4219,470.878,8324.0,4.28,1.71
1199.01,1199,CP,3.6714717,10.678,324.114,10.4221,248.427,5618.0,4.06,1.54
120.01,120,CP,11.535076,12.215808,,7.1062,79.5702,5479.3,3.77,2.48771
1200.01,1200,FP,0.8352406,6.4875,5021.63,10.402,224.444,6105.0,4.31,1.24
1201.01,1201,CP,2.4919771,2.2187585,39.6452664,10.9473,37.8871,3948.0,4.68962,0.482388
1202.01,1202,FP,,1.710706,9.5212941,8.386,818.829,3773.0,4.438,0.577983
1203.01,1203,CP,25.5195307,2.9641461,45.6335702,7.9995,64.9943,5742.22,4.29,1.17321
1204.01,1204,PC,1.381238,2.0216034,5767.2198906,8.004,106.505,6711.0,4.06358,1.7756799
1205.01,1205,PC,2.3922703,3.5905923,18015.5142019,8.3902,309.932,6090.0,3.29864,4.1956
1206.01,1206,FP,0.831542,1.881684,3776.6095365,8.6014,1698.55,5824.0,4.438,1.1512
